R,k,Tension
0.0010,0.0397,0.00500
0.0011,0.0436,0.00500
0.0012,0.0476,0.00500
0.0013,0.0515,0.00500
0.0014,0.0554,0.00500
0.0015,0.0593,0.00500
0.0016,0.0632,0.00500
0.0017,0.0671,0.00500
0.0018,0.0710,0.00500
0.0019,0.0749,0.00500
0.0020,0.0788,0.00500
0.0021,0.0826,0.00500
0.0022,0.0865,0.00500
0.0023,0.0903,0.00500
0.0024,0.0942,0.00500
0.0025,0.0980,0.00500
0.0026,0.1019,0.00500
0.0027,0.1057,0.00500
0.0028,0.1095,0.00500
0.0029,0.1134,0.00500
0.0030,0.1172,0.00500
0.0031,0.1210,0.00500
0.0032,0.1248,0.00500
0.0033,0.1286,0.00500
0.0034,0.1324,0.00500
0.0035,0.1362,0.00500
0.0036,0.1399,0.00500
0.0037,0.1437,0.00500
0.0038,0.1475,0.00500
0.0039,0.1512,0.00500
0.0040,0.1550,0.00500
0.0041,0.1587,0.00500
0.0042,0.1625,0.00500
0.0043,0.1662,0.00500
0.0044,0.1699,0.00500
0.0045,0.1736,0.00500
0.0046,0.1774,0.00500
0.0047,0.1811,0.00500
0.0048,0.1848,0.00500
0.0049,0.1885,0.00500
0.0050,0.1922,0.00500
0.0051,0.1958,0.00500
0.0052,0.1995,0.00500
0.0053,0.2032,0.00500
0.0054,0.2069,0.00500
0.0055,0.2105,0.00500
0.0056,0.2142,0.00500
0.0057,0.2178,0.00500
0.0058,0.2214,0.00500
0.0059,0.2251,0.00500
0.0060,0.2287,0.00500
0.0061,0.2323,0.00500
0.0062,0.2359,0.00500
0.0063,0.2395,0.00500
0.0064,0.2431,0.00500
0.0065,0.2467,0.00500
0.0066,0.2503,0.00500
0.0067,0.2539,0.00500
0.0068,0.2575,0.00500
0.0069,0.2611,0.00500
0.0070,0.2646,0.00500
0.0071,0.2682,0.00500
0.0072,0.2717,0.00500
0.0073,0.2753,0.00500
0.0074,0.2788,0.00500
0.0075,0.2824,0.00500
0.0076,0.2859,0.00500
0.0077,0.2894,0.00500
0.0078,0.2929,0.00500
0.0079,0.2964,0.00500
0.0080,0.2999,0.00500
0.0081,0.3034,0.00500
0.0082,0.3069,0.00500
0.0083,0.3104,0.00500
0.0084,0.3139,0.00500
0.0085,0.3173,0.00500
0.0086,0.3208,0.00500
0.0087,0.3243,0.00500
0.0088,0.3277,0.00500
0.0089,0.3311,0.00500
0.0090,0.3346,0.00500
0.0091,0.3380,0.00500
0.0092,0.3414,0.00500
0.0093,0.3449,0.00500
0.0094,0.3483,0.00500
0.0095,0.3517,0.00500
0.0096,0.3551,0.00500
0.0097,0.3585,0.00500
0.0098,0.3619,0.00500
0.0099,0.3653,0.00500
0.0100,0.3686,0.00500
0.0101,0.3720,0.00500
0.0102,0.3754,0.00500
0.0103,0.3787,0.00500
0.0104,0.3821,0.00500
0.0105,0.3854,0.00500
0.0106,0.3887,0.00500
0.0107,0.3921,0.00500
0.0108,0.3954,0.00500
0.0109,0.3987,0.00500
0.0110,0.4020,0.00500
0.0111,0.4053,0.00500
0.0112,0.4086,0.00500
0.0113,0.4119,0.00500
0.0114,0.4152,0.00500
0.0115,0.4185,0.00500
0.0116,0.4218,0.00500
0.0117,0.4251,0.00500
0.0118,0.4283,0.00500
