R,k,Tension
0.0010,0.0593,0.00500
0.0011,0.0651,0.00500
0.0012,0.0710,0.00500
0.0013,0.0768,0.00500
0.0014,0.0826,0.00500
0.0015,0.0884,0.00500
0.0016,0.0942,0.00500
0.0017,0.1000,0.00500
0.0018,0.1057,0.00500
0.0019,0.1115,0.00500
0.0020,0.1172,0.00500
0.0021,0.1229,0.00500
0.0022,0.1286,0.00500
0.0023,0.1343,0.00500
0.0024,0.1399,0.00500
0.0025,0.1456,0.00500
0.0026,0.1512,0.00500
0.0027,0.1569,0.00500
0.0028,0.1625,0.00500
0.0029,0.1681,0.00500
0.0030,0.1736,0.00500
0.0031,0.1792,0.00500
0.0032,0.1848,0.00500
0.0033,0.1903,0.00500
0.0034,0.1958,0.00500
0.0035,0.2014,0.00500
0.0036,0.2069,0.00500
0.0037,0.2123,0.00500
0.0038,0.2178,0.00500
0.0039,0.2233,0.00500
0.0040,0.2287,0.00500
0.0041,0.2341,0.00500
0.0042,0.2396,0.00500
0.0043,0.2450,0.00500
0.0044,0.2503,0.00500
0.0045,0.2557,0.00500
0.0046,0.2611,0.00500
0.0047,0.2664,0.00500
0.0048,0.2717,0.00500
0.0049,0.2771,0.00500
0.0050,0.2824,0.00500
0.0051,0.2876,0.00500
0.0052,0.2929,0.00500
0.0053,0.2982,0.00500
0.0054,0.3034,0.00500
0.0055,0.3087,0.00500
0.0056,0.3139,0.00500
0.0057,0.3191,0.00500
0.0058,0.3243,0.00500
0.0059,0.3294,0.00500
0.0060,0.3346,0.00500
0.0061,0.3397,0.00500
0.0062,0.3449,0.00500
0.0063,0.3500,0.00500
0.0064,0.3551,0.00500
0.0065,0.3602,0.00500
0.0066,0.3653,0.00500
0.0067,0.3703,0.00500
0.0068,0.3754,0.00500
0.0069,0.3804,0.00500
0.0070,0.3854,0.00500
0.0071,0.3904,0.00500
0.0072,0.3954,0.00500
0.0073,0.4004,0.00500
0.0074,0.4054,0.00500
0.0075,0.4103,0.00500
0.0076,0.4152,0.00500
0.0077,0.4202,0.00500
0.0078,0.4251,0.00500
0.0079,0.4300,0.00500
0.0080,0.4348,0.00500
0.0081,0.4397,0.00500
0.0082,0.4446,0.00500
0.0083,0.4494,0.00500
0.0084,0.4542,0.00500
0.0085,0.4590,0.00500
0.0086,0.4638,0.00500
0.0087,0.4686,0.00500
0.0088,0.4734,0.00500
0.0089,0.4781,0.00500
0.0090,0.4828,0.00500
0.0091,0.4876,0.00500
0.0092,0.4923,0.00500
0.0093,0.4970,0.00500
0.0094,0.5017,0.00500
0.0095,0.5063,0.00500
0.0096,0.5110,0.00500
0.0097,0.5156,0.00500
0.0098,0.5202,0.00500
0.0099,0.5248,0.00500
0.0100,0.5294,0.00500
0.0101,0.5340,0.00500
0.0102,0.5386,0.00500
0.0103,0.5431,0.00500
0.0104,0.5477,0.00500
0.0105,0.5522,0.00500
0.0106,0.5567,0.00500
0.0107,0.5612,0.00500
0.0108,0.5657,0.00500
0.0109,0.5702,0.00500
0.0110,0.5746,0.00500
0.0111,0.5791,0.00500
0.0112,0.5835,0.00500
0.0113,0.5879,0.00500
0.0114,0.5923,0.00500
0.0115,0.5967,0.00500
0.0116,0.6011,0.00500
0.0117,0.6054,0.00500
0.0118,0.6098,0.00500
0.0119,0.6141,0.00500
0.0120,0.6184,0.00500
0.0121,0.6227,0.00500
0.0122,0.6270,0.00500
0.0123,0.6312,0.00500
0.0124,0.6355,0.00500
0.0125,0.6398,0.00500
0.0126,0.6440,0.00500
0.0127,0.6482,0.00500
0.0128,0.6524,0.00500
0.0129,0.6566,0.00500
0.0130,0.6608,0.00500
0.0131,0.6649,0.00500
0.0132,0.6691,0.00500
0.0133,0.6732,0.00500
0.0134,0.6773,0.00500
0.0135,0.6814,0.00500
0.01355,0.6835,0.00500
0.0136,0.6855,0.00497
0.0137,0.6896,0.00491
0.0138,0.6936,0.00485
0.0139,0.6977,0.00480
0.0140,0.7017,0.00474
0.0141,0.7057,0.00469
0.0142,0.7097,0.00463
0.0143,0.7137,0.00458
0.0144,0.7177,0.00453
0.0145,0.7216,0.00447
0.0146,0.7256,0.00442
0.0147,0.7295,0.00437
0.0148,0.7334,0.00432
0.0149,0.7373,0.00427
0.0150,0.7412,0.00423
0.0151,0.7451,0.00418
0.0152,0.7490,0.00413
0.0153,0.7528,0.00408
0.0154,0.7567,0.00404
0.01548,0.7597,0.00400
